ID;Nombre;Ingredientes;Cocinado;Tiempo;Calorias;Descripcion;Ingredientes;Categorias_App;Subcategorias_App
36A;Lomo con piña y ensalada;(150g) lomo de cerdo, (2 rodajas) piña natural, (1 puñado) rúcula, (10g) nueces;Sartén;12;340;Dora el lomo y la piña a la plancha. Sirve sobre la rúcula y añade las nueces picadas para un toque crujiente.;Cerdo, Nueces, Piña, Rúcula;Fruta, Grasas, Proteína, Vegetal;Carnes Rojas, Frutos Secos, Hoja Verde, Ãcida
35C;Crema de espárragos blancos;(1 bote) espárragos blancos extra, (1 ud) patata pequeña, (1 cda) queso crema, (al gusto) nuez moscada;Olla y Trituradora;15;190;Cuece la patata. Tritúrala con los espárragos (reserva las puntas) y el queso crema. Sirve caliente o frío con las puntas de adorno.;espárragos, Patata, Queso;Carbohidrato, Lácteo, Vegetal;Quesos, Tallos, Tubérculos
36C;Sopa fría de pepino y yogur;(1 ud) pepino, (1 ud) yogur griego natural, (1 diente) ajo pequeño, (unas hojas) menta o eneldo;Trituradora;5;170;Pela el pepino y tritúralo con el yogur, el ajo y la menta. Sirve muy frío. Es una opción muy depurativa y refrescante.;Ajo, Pepino, Yogur;Lácteo, Vegetal;Bulbos, Hortalizas, Yogures
37A;Merluza con patatas y ajada;(150g) merluza, (1 ud) patata, (1 diente) ajo, (1 cda) pimentón dulce, (1 cda) AOVE;Olla y Sartén;20;330;Cuece la patata en rodajas y el pescado al vapor o en agua. En una Sartén, dora el ajo laminado con aceite, retira del fuego y añade el pimentón. Vierte la ajada sobre el pescado y las patatas.;AOVE, Ajo, Merluza, Patata;Carbohidrato, Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Blanco, Tubérculos
38A;Ensalada de pescado;(150g) merluza o rape cocido, (5 uds) langostinos, (0.5 ud) pimiento verde, (0.5 ud) cebolla, (1 cda) AOVE;Ensamblaje;10;310;Pica el pescado y los langostinos. Mezcla con el pimiento y la cebolla picados muy finos. Aliña con aceite, vinagre y sal. Deja enfriar en la nevera.;AOVE, Cebolla, Langostinos, Merluza, Pimiento;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Marisco, Pescado Blanco
37C;Tortilla de champiñones y jamón;(2 uds) huevos, (100g) champiñones, (30g) jamón serrano, (1 cda) AOVE, perejil;Sartén;12;250;Limpia y lamina los champiñones. Saltéalos con el jamón hasta que no suelten agua. Añade los huevos batidos con perejil y cuaja la tortilla por ambos lados.;AOVE, Champiñones, Huevo, Piñones;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Huevos, Setas
38C;Huevos al nido en champiñón;(2 uds) huevos, (2 uds) champiñones Portobello grandes, (20g) queso rallado;Horno;15;230;Quita el tallo a los champiñones. Pon un huevo dentro de cada sombrero de champiñón. Espolvorea queso y hornea a 180 grados hasta que el huevo cuaje.;Champiñones, Huevo, Piñones, Queso;Grasas, Lácteo, Proteína, Vegetal;Frutos Secos, Huevos, Quesos, Setas
39A;Pechuga de pollo con calabaza;(150g) pechuga de pollo, (200g) calabaza, (1 cda) romero, (1 cda) AOVE;Horno;25;340;Corta la calabaza en dados y el pollo en trozos grandes. Pon todo en una bandeja con aceite y romero. Hornea 20-25 min a 200 grados hasta que la calabaza esté tierna.;AOVE, Calabaza, Pollo;Grasas, Proteína, Vegetal;Aceites, Carnes Blancas, Hortalizas
40A;Pollo salteado con calabaza y curry;(150g) pollo, (200g) calabaza, (50ml) leche de coco, (1 cda) curry;Sartén;20;360;Saltea la calabaza picada pequeña hasta que ablande. Añade el pollo a dados. Cuando dore, incorpora el curry y la leche de coco. Deja reducir la salsa unos minutos.;Calabaza, Leche, Pollo;Despensa, Proteína, Vegetal;Carnes Blancas, Hortalizas, Líquidos
39C;Crema de zanahoria y coco;(3 uds) zanahorias, (1 ud) puerro, (50ml) leche de coco, (1 pizca) jengibre;Olla y Trituradora;20;210;Trocea y rehoga el puerro y la zanahoria. Cubre con agua y cuece 15 min. Tritura con la leche de coco y el jengibre hasta que esté muy suave.;Leche, Puerro, Zanahoria;Despensa, Vegetal;Bulbos, Hortalizas, Líquidos
40C;Sopa de zanahoria y fideos de arroz;(2 uds) zanahorias, (30g) fideos de arroz, (250ml) caldo de verduras, (1 cda) cilantro;Olla;15;230;Hierve el caldo con la zanahoria en rodajas finas. Cuando esté tierna, añade los fideos de arroz (se cocinan en 3 min). Sirve con cilantro fresco picado.;Arroz, Caldo, Zanahoria;Carbohidrato, Despensa, Vegetal;Bases, Cereales, Hortalizas
41A;Brochetas de pavo y verduras;(150g) pechuga de pavo, (0.5 ud) pimiento rojo, (0.5 ud) calabacín, (5 uds) champiñones, (1 cda) AOVE;Sartén o Parrilla;15;320;Corta el pavo y las verduras en dados. Ensarta en palitos de brocheta alternando los ingredientes. Hazlas a la plancha con un poco de aceite y especias al gusto hasta que el pavo esté bien hecho.;AOVE, calabacín, Champiñones, Pavo, Pimiento, Piñones;Grasas, Proteína, Vegetal;Aceites, Carnes Blancas, Frutos Secos, Hortalizas, Setas
42A;Pavo salteado con setas;(150g) pavo, (150g) setas o champiñones, (1 diente) ajo, (1 puñado) perejil;Sartén;12;300;Pica el ajo y saltéalo con las setas. Cuando hayan soltado el agua, añade el pavo a tiras y saltea a fuego fuerte. Espolvorea perejil fresco al final.;Ajo, Champiñones, Pavo, Piñones, Setas;Grasas, Proteína, Vegetal;Bulbos, Carnes Blancas, Frutos Secos, Setas
41C;Tortilla de gambas y calabacín;(2 uds) huevos, (80g) gambas peladas, (0.5 ud) calabacín, (1 cda) AOVE;Sartén;12;260;Ralla el calabacín y escúrrelo bien. Saltéalo con las gambas en la Sartén. Añade los huevos batidos y cuaja la tortilla. Es una cena muy ligera y saciante.;AOVE, calabacín, Gambas, Huevo;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Marisco
42C;Revuelto de gambas y espárragos;(2 uds) huevos, (80g) gambas, (0.5 manojo) espárragos, (1 cda) AOVE;Sartén;10;240;Trocea los espárragos y saltéalos con las gambas. Añade los huevos apenas batidos y remueve a fuego lento para que quede un revuelto muy jugoso.;AOVE, espárragos, Gambas, Huevo;Grasas, Proteína, Vegetal;Aceites, Huevos, Marisco, Tallos
43A;Ensalada de lentejas y salmón;(100g) lentejas cocidas, (100g) salmón ahumado o cocinado, (1 ud) tomate, (0.5 ud) aguacate, (1 cda) AOVE;Ensamblaje;10;410;Mezcla las lentejas (lavadas y escurridas) con el tomate y aguacate troceados. Añade el salmón en tiras y aliña con aceite y un poco de eneldo.;AOVE, Aguacate, Lentejas, Salmón, Tomate;Fruta, Grasas, Proteína, Vegetal;Aceites, Grasas, Hortalizas, Legumbres, Pescado Azul
44A;Hamburguesa de lentejas;(150g) lentejas cocidas, (20g) harina de avena, (1 diente) ajo, (1 ud) zanahoria rallada;Sartén;20;380;Chafa las lentejas con un tenedor, mezcla con el ajo picado, la zanahoria y la harina. Forma las hamburguesas y hazlas a la plancha hasta que estén doradas por fuera.;Ajo, Lentejas, Zanahoria;Proteína, Vegetal;Bulbos, Hortalizas, Legumbres
43C;Crema de calabacín y menta;(2 uds) Calabacín, (0.5 ud) cebolla, (unas hojas) menta fresca, (1 cda) queso crema;Olla y Trituradora;20;180;Rehoga la cebolla y el calabacín. Cubre con poca agua y cuece 15 min. Tritura con el queso crema y las hojas de menta para un toque fresco y digestivo.;Cebolla, Queso;Lácteo, Vegetal;Bulbos, Quesos
44C;Sopa de calabacín y pollo;(1 ud) calabacín, (100g) pollo desmenuzado, (250ml) caldo de pollo, (1 cda) cúrcuma;Olla;15;220;Corta el calabacín en dados pequeños y cuécelo en el caldo con la cúrcuma. Añade el pollo ya cocinado al final para que se caliente y sirve.;calabacín, Caldo, Pollo;Despensa, Proteína, Vegetal;Bases, Carnes Blancas, Hortalizas
45A;Salmón con costra de almendras;(150g) salmón, (20g) almendras crudas, (1 cda) mostaza, (100g) espárragos;Horno;15;410;Pica las almendras. Unta el salmón con un poco de mostaza y pega las almendras encima. Hornea junto a los espárragos a 180 grados durante 12-15 minutos.;Almendras, espárragos, Salmón;Grasas, Proteína, Vegetal;Frutos Secos, Pescado Azul, Tallos
46A;Trucha con almendras y ensalada;(1 ud) trucha, (15g) almendras laminadas, (1 cda) AOVE, (1 puñado) canónigos;Sartén;12;380;Dora las almendras en la Sartén y reserva. Cocina la trucha a la plancha. Sirve con las almendras por encima y una guarnición de canónigos.;AOVE, Almendras, Canónigos, Trucha;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Hoja Verde, Pescado Blanco
45C;Tortilla de pimientos y cebolla;(2 uds) huevos, (1 ud) pimiento verde, (0.5 ud) cebolla, (1 cda) AOVE;Sartén;15;260;Pocha la cebolla y el pimiento picados hasta que estén muy tiernos. Añade los huevos batidos y cuaja la tortilla al gusto. Una cena clásica y antiinflamatoria.;AOVE, Cebolla, Huevo, Pimiento;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Huevos
46C;Revuelto de pimientos y atún;(2 uds) huevos, (1 ud) pimiento rojo, (1 lata) atún al natural, (1 cda) AOVE;Sartén;10;280;Saltea el pimiento en tiras. Añade el atún escurrido y los huevos. Remueve suavemente para que el revuelto quede jugoso pero cocido.;AOVE, Atún, Huevo, Pimiento;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Pescado Azul
47A;Ensalada de arroz y langostinos;(60g) arroz integral cocido, (8 uds) langostinos cocidos, (1 ud) tomate, (0.5 ud) aguacate;Ensamblaje;5;390;Mezcla el arroz (previamente cocido y frío) con los langostinos pelados, el tomate en dados y el aguacate. Aliña con aceite de oliva y limón.;Aguacate, Arroz, Langostinos, Tomate;Carbohidrato, Fruta, Proteína, Vegetal;Cereales, Grasas, Hortalizas, Marisco
48A;Arroz salteado con gambas;(60g) arroz integral, (100g) gambas, (1 ud) zanahoria, (1 diente) ajo;Sartén;15;370;Saltea el ajo y la zanahoria picada. Añade las gambas y, cuando estén rosadas, incorpora el arroz cocido. Saltea todo junto 2 minutos para integrar sabores.;Ajo, Arroz, Gambas, Zanahoria;Carbohidrato, Proteína, Vegetal;Bulbos, Cereales, Hortalizas, Marisco
47C;Crema de espinacas y pera;(200g) Espinacas, (1 ud) pera madura, (1 ud) patata pequeña, (1 cda) queso crema;Olla y Trituradora;20;210;Cuece la patata y las espinacas. Al final añade la pera pelada y troceada. Tritura todo con el queso crema para una textura sedosa y un sabor original.;Espinacas, Patata, Queso;Carbohidrato, Lácteo, Vegetal;Hoja Verde, Quesos, Tubérculos
48C;Sopa de espinacas y piñones;(200g) espinacas, (250ml) caldo verduras, (10g) piñones, (1 ud) huevo duro;Olla;12;230;Calienta el caldo y añade las espinacas hasta que reduzcan. Sirve con el huevo duro picado y los piñones tostados por encima.;Caldo, Espinacas, Huevo, Piñones;Despensa, Grasas, Proteína, Vegetal;Bases, Frutos Secos, Hoja Verde, Huevos
49A;Sardinas al horno con picadillo;(150g) sardinas frescas, (1 ud) tomate, (0.5 ud) cebolla, (1 puñado) perejil, (1 cda) AOVE;Horno;15;320;Limpia las sardinas y ponlas en una bandeja de horno. Cubre con un picadillo de tomate, cebolla y perejil. Hornea 10-12 min a 200 grados hasta que estén en su punto.;AOVE, Cebolla, Sardinas, Tomate;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Pescado Azul
50A;Boquerones al limón;(150g) boquerones, (1 ud) limón, (1 diente) ajo, (1 cda) AOVE, (100g) ensalada mixta;Sartén;10;290;Limpia los boquerones. Saltéalos en la Sartén con ajo picado y mucho zumo de limón. Sirve acompañado de una ensalada verde.;AOVE, Ajo, Boquerones, limón;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Cítrico, Pescado Azul
49C;Milhojas de berenjena;(0.5 ud) berenjena grande, (1 ud) tomate, (30g) mozzarella o queso feta, (1 cda) orégano;Horno o Microondas;15;240;Corta la berenjena y el tomate en rodajas. Alterna capas de berenjena, tomate y queso. Hornea hasta que la berenjena esté tierna y el queso fundido.;Berenjena, Queso, Tomate;Lácteo, Vegetal;Hortalizas, Quesos
50C;Berenjena asada con yogur;(1 ud) berenjena, (2 cdas) yogur griego, (10g) granada o nueces, (1 cda) AOVE;Horno;25;220;Corta la berenjena por la mitad y haz cortes en la carne. Hornea 20 min. Sirve con una salsa de yogur por encima y decora con nueces o granada.;AOVE, Berenjena, Nueces, Yogur;Grasas, Lácteo, Vegetal;Aceites, Frutos Secos, Hortalizas, Yogures
51A;Ensalada de lentejas y queso de cabra;(100g) lentejas cocidas, (40g) queso de cabra, (1 ud) zanahoria, (1 puñado) espinacas;Ensamblaje;10;380;Mezcla las lentejas con la zanahoria rallada y las espinacas. Añade el queso de cabra desmenuzado y aliña con aceite de oliva y vinagre de manzana.;Espinacas, Lentejas, Queso, Zanahoria;Lácteo, Proteína, Vegetal;Hoja Verde, Hortalizas, Legumbres, Quesos
52A;Potaje de lentejas ligero;(100g) lentejas cocidas, (0.5 ud) pimiento, (0.5 ud) cebolla, (1 ud) zanahoria, (1 cda) pimentón;Olla;20;350;Sofríe las verduras picadas. Añade las lentejas cocidas y un poco de agua o caldo. Deja que hierva todo junto 10 min para que se integren los sabores.;Cebolla, Lentejas, Pimiento, Zanahoria;Proteína, Vegetal;Bulbos, Hortalizas, Legumbres
51C;Tortilla de calabaza y queso;(2 uds) huevos, (150g) calabaza, (20g) queso rallado, (1 cda) AOVE;Sartén;15;270;Corta la calabaza en dados pequeños y cocínala en la Sartén hasta que esté tierna. Mezcla con los huevos y el queso, y cuaja la tortilla de forma habitual.;AOVE, Calabaza, Huevo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Quesos
52C;Revuelto de calabaza y semillas;(2 uds) huevos, (150g) calabaza, (1 cda) pipas de calabaza, (1 cda) AOVE;Sartén;12;250;Saltea la calabaza hasta que esté blanda. Añade los huevos y las semillas. Remueve hasta que el huevo esté cocido pero jugoso.;AOVE, Calabaza, Huevo, Pipas;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Semillas
53A;Bacalao con costra de pistachos;(150g) lomo de bacalao, (20g) pistachos pelados, (1 cda) mostaza, (100g) judías verdes;Horno;18;360;Pica los pistachos finamente. Unta el bacalao con mostaza y cubre con los pistachos. Hornea junto a las judías verdes a 180 grados durante 15 minutos.;Bacalao, Pistachos;Grasas, Proteína;Frutos Secos, Pescado Blanco
54A;Bacalao al horno con cebolla;(150g) bacalao, (1 ud) cebolla, (1 ud) patata, (1 cda) AOVE, perejil;Horno;25;340;Corta la patata y la cebolla en rodajas. Hornea 10 min. Coloca el bacalao encima y hornea 12 min más. Espolvorea perejil fresco al servir.;AOVE, Bacalao, Cebolla, Patata;Carbohidrato, Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Blanco, Tubérculos
53C;Crema de espárragos verdes;(1 manojo) espárragos trigueros, (1 ud) puerro, (1 cda) queso crema, (1 cda) AOVE;Olla y Trituradora;20;190;Limpia los espárragos y trocea el puerro. Rehogar y cocer con agua 15 min. Triturar con el queso crema. Reserva las puntas de los espárragos hechas a la plancha para decorar.;AOVE, espárragos, Puerro, Queso;Grasas, Lácteo, Vegetal;Aceites, Bulbos, Quesos, Tallos
54C;Sopa de espárragos y huevo;(1 manojo) espárragos, (250ml) caldo de verduras, (1 ud) huevo, (10g) almendras picadas;Olla;15;210;Hierve los espárragos en el caldo. Cuando estén tiernos, echa el huevo batido poco a poco para que se formen hilos. Añade las almendras al servir.;Almendras, Caldo, espárragos, Huevo;Despensa, Grasas, Proteína, Vegetal;Bases, Frutos Secos, Huevos, Tallos
55A;Pechuga de pollo a la naranja;(150g) pechuga de pollo, (1 ud) naranja, (0.5 ud) cebolla, (1 cda) AOVE, sal;Sartén;20;330;Sella el pollo en la Sartén. Añade la cebolla picada y el zumo de la naranja. Tapa y deja cocinar a fuego lento hasta que la salsa reduzca y espese.;AOVE, Cebolla, Naranja, Pollo;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Cítrico
56A;Pollo salteado con sésamo y miel;(150g) pollo, (1 cda) miel, (1 cda) sésamo, (1 cda) soja sin azúcar, (100g) brócoli;Sartén;15;350;Saltea el pollo con el brócoli. Al final, añade la mezcla de soja y miel. Remueve 1 min y espolvorea el sésamo por encima.;Brócoli, Col, Pollo, Soja, Sésamo;Despensa, Grasas, Proteína, Vegetal;Carnes Blancas, Crucíferas, Salsas, Semillas
55C;Tortilla de alcachofas;(2 uds) huevos, (4 uds) alcachofas de bote o frescas, (1 diente) ajo, (1 cda) AOVE;Sartén;12;240;Limpia y lamina las alcachofas. Saltéalas con el ajo picado. Añade los huevos batidos y cuaja la tortilla. Es una cena muy rica en fibra prebiótica.;AOVE, Ajo, Alcachofas, Huevo;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Huevos
56C;Revuelto de alcachofas y jamón;(2 uds) huevos, (4 uds) alcachofas, (30g) jamón serrano, (1 cda) AOVE;Sartén;10;250;Saltea las alcachofas con el jamón. Añade los huevos y remueve suavemente para que el revuelto quede jugoso.;AOVE, Alcachofas, Huevo;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos
57A;Ensalada de garbanzos y atún;(100g) garbanzos cocidos, (1 lata) atún al natural, (0.5 ud) pimiento rojo, (1 ud) huevo duro, (1 cda) AOVE;Ensamblaje;10;370;Lava y escurre los garbanzos. Mezcla con el pimiento picado, el atún y el huevo duro troceado. Aliña con aceite, sal y un toque de vinagre de Jerez.;AOVE, Atún, Garbanzos, Huevo, Pimiento;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Legumbres, Pescado Azul
58A;Hummus de garbanzos con pimentón;(100g) garbanzos cocidos, (1 cda) tahini, (0.5 ud) limón, (1 ud) zanahoria, (1 ud) pimiento verde;Trituradora;10;340;Tritura los garbanzos con el tahini, zumo de limón y un poco de agua. Sirve con pimentón por encima y usa la zanahoria y el pimiento en tiras para mojar.;Garbanzos, limón, Pimiento, Zanahoria;Fruta, Proteína, Vegetal;Cítrico, Hortalizas, Legumbres
57C;Crema de calabaza y pipas;(200g) calabaza, (0.5 ud) cebolla, (1 cda) pipas de girasol, (1 cda) queso crema;Olla y Trituradora;20;210;Cuece la calabaza con la cebolla. Tritura con el queso crema hasta que quede una textura sedosa. Sirve con las pipas de girasol tostadas por encima para el contraste crujiente.;Calabaza, Cebolla, Pipas, Queso;Grasas, Lácteo, Vegetal;Bulbos, Hortalizas, Quesos, Semillas
58C;Sopa de calabaza y jengibre;(200g) calabaza, (250ml) caldo verduras, (1 trozo) jengibre fresco, (30g) jamón picado;Olla;20;190;Hierve el caldo con la calabaza y el jengibre rallado. Cuando esté tierna, aplasta un poco con el tenedor (sin triturar del todo) y añade el jamón picado antes de servir.;Calabaza, Caldo;Despensa, Vegetal;Bases, Hortalizas
59A;Langostinos al ajillo con espárragos;(10 uds) langostinos, (1 manojo) espárragos trigueros, (2 dientes) ajo, (1 guindilla) opcional, (1 cda) AOVE;Sartén;15;280;Dora los ajos y la guindilla en aceite. Añade los espárragos troceados y, cuando estén tiernos, incorpora los langostinos. Saltea 2 min hasta que cambien de color.;AOVE, Ajo, espárragos, Langostinos;Grasas, Proteína, Vegetal;Aceites, Bulbos, Marisco, Tallos
60A;Brochetas de langostinos y piña;(10 uds) langostinos, (2 rodajas) piña natural, (1 ud) calabacín, (1 cda) AOVE;Sartén o Plancha;12;260;Ensarta los langostinos pelados alternándolos con trozos de piña y rodajas de calabacín. Pasa por la plancha hasta que todo esté dorado.;AOVE, calabacín, Langostinos, Piña;Fruta, Grasas, Proteína, Vegetal;Aceites, Hortalizas, Marisco, Ãcida
59C;Tortilla de espinacas y piñones;(2 uds) huevos, (100g) Espinacas, (10g) piñones, (1 cda) AOVE;Sartén;10;270;Saltea las espinacas con los piñones hasta que reduzcan. Añade los huevos batidos y cuaja la tortilla. Es una cena rápida y rica en magnesio.;AOVE, Espinacas, Huevo, Piñones;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Hoja Verde, Huevos
60C;Revuelto de espinacas y queso;(2 uds) huevos, (100g) espinacas, (30g) queso feta, (1 cda) AOVE;Sartén;8;250;Saltea las espinacas. Añade los huevos y remueve. Justo antes de que cuajen del todo, añade el queso feta desmenuzado y termina de cocinar suavemente.;AOVE, Espinacas, Huevo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Hoja Verde, Huevos, Quesos
61A;Pavo a la plancha con puré de calabacín;(150g) pechuga de pavo, (1 ud) calabacín, (1 ud) patata pequeña, (1 cda) AOVE, pimienta;Sartén y Olla;20;340;Cuece la patata y el calabacín con poca agua. Tritura para hacer un puré espeso. Cocina el pavo a la plancha con pimienta y sirve sobre la base de puré.;AOVE, calabacín, Patata, Pavo;Carbohidrato, Grasas, Proteína, Vegetal;Aceites, Carnes Blancas, Hortalizas, Tubérculos
62A;Pavo al horno con verduras;(150g) pavo, (0.5 ud) pimiento rojo, (0.5 ud) cebolla, (100g) champiñones, (1 cda) AOVE;Horno;25;320;Corta el pavo y las verduras en trozos medianos. Pon todo en una fuente, añade aceite y especias, y hornea a 190 grados durante 20-25 minutos.;AOVE, Cebolla, Champiñones, Pavo, Pimiento, Piñones;Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas, Frutos Secos, Hortalizas, Setas
61C;Huevos rellenos de aguacate;(2 uds) huevos duros, (0.5 ud) aguacate, (1 lata) atún al natural, (1 pizca) pimentón;Ensamblaje;10;290;Corta los huevos duros por la mitad. Mezcla las yemas con el aguacate machacado y el atún. Rellena los huecos de la clara con esta pasta y decora con pimentón.;Aguacate, Atún, Huevo;Fruta, Proteína;Grasas, Huevos, Pescado Azul
62C;Ensaladilla de huevo y aguacate;(2 uds) huevos duros, (0.5 ud) aguacate, (5 uds) tomates cherry, (1 base) canónigos;Ensamblaje;5;270;Pica los huevos y el aguacate en dados. Mezcla con los tomates cherry partidos por la mitad sobre la base de canónigos. Aliña con limón y aceite.;Aguacate, Canónigos, Huevo, Tomate;Fruta, Proteína, Vegetal;Grasas, Hoja Verde, Hortalizas, Huevos
63A;Merluza al papillote con verduras;(150g) merluza, (1 ud) zanahoria, (0.5 ud) puerro, (1 cda) AOVE, (al gusto) eneldo;Horno;18;310;Pon el pescado sobre papel de horno. Añade la zanahoria y el puerro en juliana fina por encima. Cierra el paquete herméticamente y hornea 15 min a 200 grados.;AOVE, Merluza, Puerro, Zanahoria;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Pescado Blanco
64A;Merluza al vapor con salsa de almendras;(150g) merluza, (20g) almendras, (50ml) leche de coco o caldo, (100g) brócoli;Vapor y Trituradora;15;330;Cocina la merluza y el brócoli al vapor. Tritura las almendras con la leche de coco para hacer una salsa y viértela sobre el pescado caliente.;Almendras, Brócoli, Caldo, Col, Leche, Merluza;Despensa, Grasas, Proteína, Vegetal;Bases, Crucíferas, Frutos Secos, Líquidos, Pescado Blanco
63C;Tortilla de champiñones y ajetes;(2 uds) huevos, (100g) champiñones, (3 uds) ajetes tiernos, (1 cda) AOVE;Sartén;12;240;Limpia y pica los ajetes y champiñones. Saltéalos hasta que estén dorados. Añade los huevos batidos y cuaja la tortilla. Una cena muy ligera y digestiva.;AOVE, Champiñones, Huevo, Piñones;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Huevos, Setas
64C;Revuelto de setas y jamón;(2 uds) huevos, (100g) setas variadas, (30g) jamón serrano, (1 cda) AOVE;Sartén;10;250;Saltea las setas con el jamón picado. Añade los huevos y remueve suavemente para que el revuelto quede cremoso.;AOVE, Huevo, Setas;Grasas, Proteína, Vegetal;Aceites, Huevos, Setas
69A;Boquerones al horno con verduras;(150g) boquerones limpios, (0.5 ud) pimiento rojo, (1 ud) cebolla, (1 cda) AOVE, (1 diente) ajo;Horno;15;290;Corta las verduras en juliana y ponlas de base. Coloca los boquerones encima con ajo picado y un chorrito de aceite. Hornea 10-12 min a 180 grados.;AOVE, Ajo, Boquerones, Cebolla, Pimiento;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Pescado Azul
70A;Ensalada de boquerones y tomate;(150g) boquerones en vinagre o cocinados, (2 uds) tomates maduros, (5 uds) aceitunas, (1 cda) AOVE;Ensamblaje;5;270;Corta los tomates en rodajas gruesas. Coloca los boquerones encima y decora con las aceitunas. Aliña con aceite de oliva virgen extra y orégano.;AOVE, Aceitunas, Boquerones, Tomate;Grasas, Proteína, Vegetal;Aceites, Frutos, Hortalizas, Pescado Azul
69C;Crema de setas y puerro;(200g) setas variadas, (1 ud) puerro, (1 cda) queso crema, (al gusto) pimienta negra;Olla y Trituradora;20;180;Rehoga el puerro y las setas. Cubre con agua (la justa) y cuece 15 min. Tritura con el queso crema hasta que quede una textura sedosa.;Puerro, Queso, Setas;Lácteo, Vegetal;Bulbos, Quesos, Setas
70C;Sopa de setas y huevo;(150g) setas, (250ml) caldo de verduras, (1 ud) huevo, (1 puñado) espinacas;Olla;15;210;Hierve el caldo con las setas troceadas. Añade las espinacas y, al final, casca el huevo dentro para que se escalfe con el calor de la sopa.;Caldo, Espinacas, Huevo, Setas;Despensa, Proteína, Vegetal;Bases, Hoja Verde, Huevos, Setas
71A;Pollo al ajillo con judías verdes;(150g) pechuga de pollo, (100g) judías verdes, (3 dientes) ajo, (1 cda) AOVE, (50ml) vino blanco;Sartén;20;320;Dora los ajos con el pollo a dados. Añade las judías verdes (previamente cocidas) y el vino blanco. Deja reducir el alcohol a fuego fuerte.;AOVE, Ajo, Pollo;Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Blancas
72A;Pollo salteado con almendras;(150g) pollo, (20g) almendras crudas, (1 ud) pimiento verde, (1 cda) soja sin azúcar;Sartén;15;350;Saltea el pollo con el pimiento. Cuando esté dorado, añade las almendras para que se tuesten un poco. Termina con la soja y saltea un minuto más.;Almendras, Pimiento, Pollo, Soja;Despensa, Grasas, Proteína, Vegetal;Carnes Blancas, Frutos Secos, Hortalizas, Salsas
71C;Tortilla de espárragos y ajos tiernos;(2 uds) huevos, (0.5 manojo) espárragos, (3 uds) ajetes, (1 cda) AOVE;Sartén;12;240;Limpia y trocea los vegetales. Saltéalos en la Sartén hasta que estén tiernos pero crujientes. Añade los huevos batidos y cuaja la tortilla al gusto.;AOVE, espárragos, Huevo;Grasas, Proteína, Vegetal;Aceites, Huevos, Tallos
72C;Revuelto de espárragos y salmón;(2 uds) huevos, (0.5 manojo) espárragos, (50g) salmón ahumado, (1 cda) AOVE;Sartén;10;260;Saltea los espárragos. Añade los huevos y remueve. Justo antes de que cuaje el huevo, incorpora el salmón en tiras para que no se cocine demasiado.;AOVE, espárragos, Huevo, Salmón;Grasas, Proteína, Vegetal;Aceites, Huevos, Pescado Azul, Tallos
73A;Merluza a la plancha con espárragos;(150g) merluza, (100g) espárragos trigueros, (1 diente) ajo, (1 cda) AOVE;Sartén o Plancha;15;310;Cocina la merluza a la plancha por ambos lados. En la misma Sartén, saltea los espárragos con el ajo laminado hasta que estén tiernos. Sirve con un chorrito de aceite en crudo.;AOVE, Ajo, espárragos, Merluza;Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Blanco, Tallos
74A;Ensalada de merluza y langostinos;(150g) merluza cocida, (6 uds) langostinos, (1 ud) tomate, (1 base) canónigos;Ensamblaje;10;290;Desmenuza la merluza cocida y mezcla con los langostinos pelados y el tomate en dados sobre la base de canónigos. Aliña con aceite de oliva y un poco de ralladura de limón.;Canónigos, Langostinos, Merluza, Tomate;Proteína, Vegetal;Hoja Verde, Hortalizas, Marisco, Pescado Blanco
